loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-02-26 21:34:10.898 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945392.4024612918,0.0608062744140625,-0.3742523193359375,-1.0462646484375,0
2020-02-26 21:34:10.940 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945392.4621522917,0.1093292236328125,-0.3984375,-1.033645629882812,0
2020-02-26 21:34:11.000 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945392.5218432917,0.0668182373046875,-0.402130126953125,-0.9122467041015625,0
2020-02-26 21:34:11.060 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945392.5815352917,-0.0055389404296875,-0.3701019287109375,-0.764495849609375,0
2020-02-26 21:34:11.119 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945392.6412262918,-0.1407470703125,-0.30352783203125,-0.592864990234375,0
2020-02-26 21:34:11.179 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945392.7009172917,-0.343902587890625,-0.154388427734375,-0.4671783447265625,0
2020-02-26 21:34:11.239 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945392.7606082917,-0.4906158447265625,0.0384368896484375,-0.488250732421875,0
2020-02-26 21:34:11.298 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945392.8203002918,-0.1765899658203125,0.1525115966796875,-0.6850738525390625,0
2020-02-26 21:34:11.358 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945392.8799912917,0.133697509765625,0.133148193359375,-1.48431396484375,0
2020-02-26 21:34:11.418 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945392.9396822917,0.13739013671875,0.0689239501953125,-2.10797119140625,0
2020-02-26 21:34:11.479 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945392.9993729168,-0.1161956787109375,-0.1658935546875,-1.997802734375,0
2020-02-26 21:34:11.538 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.0590639167,-0.0343780517578125,0.0586090087890625,-1.862701416015625,0
2020-02-26 21:34:11.597 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.1187559167,-0.1966400146484375,0.0662078857421875,-1.317550659179688,0
2020-02-26 21:34:11.657 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.1784469167,-0.011322021484375,0.04278564453125,-0.747711181640625,0
2020-02-26 21:34:11.716 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.2381379168,0.0653228759765625,-0.0328826904296875,-0.4195709228515625,0
2020-02-26 21:34:11.776 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.2978289167,0.115020751953125,-0.13134765625,-0.290802001953125,0
2020-02-26 21:34:11.836 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.3575199167,0.258148193359375,-0.272491455078125,-0.1829681396484375,0
2020-02-26 21:34:11.895 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.4172119168,0.4066619873046875,-0.33843994140625,-0.2211151123046875,0
2020-02-26 21:34:11.955 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.4769029167,0.4293670654296875,-0.1750946044921875,-0.5326995849609375,0
2020-02-26 21:34:12.015 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.5365939167,0.0760345458984375,-0.0382537841796875,-1.185943603515625,0
2020-02-26 21:34:12.075 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.5962849167,-0.2774810791015625,0.0305023193359375,-1.822967529296875,0
2020-02-26 21:34:12.134 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.6559769168,-0.4499969482421875,-0.2000885009765625,-1.632827758789062,0
2020-02-26 21:34:12.195 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.7156679167,-0.1704864501953125,-0.2111968994140625,-1.278366088867188,0
2020-02-26 21:34:12.253 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.7753589167,-0.0181732177734375,-0.1669464111328125,-0.9363250732421875,0
2020-02-26 21:34:12.313 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.8350499168,0.044219970703125,-0.209320068359375,-0.9062652587890625,0
2020-02-26 21:34:12.373 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.8947419167,0.058441162109375,-0.1983642578125,-0.881744384765625,0
2020-02-26 21:34:12.432 -0800,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945393.9544329167,0.0118255615234375,-0.2678680419921875,-0.910400390625,0
2020-02-26 21:34:12.492 -0800,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,945394.014123625,0.0600128173828125,-0.291656494140625,-0.9540863037109375,0
