loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-02-26 18:08:04.837 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933026.4588941251,-0.0117034912109375,-0.196380615234375,-0.9681854248046875,0
2020-02-26 18:08:04.884 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933026.5185841251,-0.0390625,-0.1944732666015625,-0.976226806640625,0
2020-02-26 18:08:04.948 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933026.5782731251,-0.0933990478515625,-0.2073211669921875,-0.9727935791015625,0
2020-02-26 18:08:05.008 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933026.637963125,-0.178070068359375,-0.18267822265625,-1.007659912109375,0
2020-02-26 18:08:05.067 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933026.697653125,-0.2857513427734375,-0.1635894775390625,-0.98944091796875,0
2020-02-26 18:08:05.128 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933026.7573421251,-0.2058563232421875,-0.20416259765625,-0.9646148681640625,0
2020-02-26 18:08:05.190 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933026.8170321251,-0.027374267578125,-0.1776123046875,-1.032318115234375,0
2020-02-26 18:08:05.247 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933026.8767221251,0.12481689453125,-0.1638031005859375,-0.9913330078125,0
2020-02-26 18:08:05.309 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933026.936411125,0.1886138916015625,-0.184478759765625,-0.954620361328125,0
2020-02-26 18:08:05.368 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933026.996101125,0.253021240234375,-0.1701507568359375,-0.921112060546875,0
2020-02-26 18:08:05.428 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.0557911251,0.2758026123046875,-0.120758056640625,-0.9390716552734375,0
2020-02-26 18:08:05.487 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.1154811251,0.1811065673828125,-0.11248779296875,-0.97265625,0
2020-02-26 18:08:05.547 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.1751701251,-0.045806884765625,-0.101715087890625,-1.009124755859375,0
2020-02-26 18:08:05.607 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.2348602917,-0.1490478515625,-0.10406494140625,-1.0189208984375,0
2020-02-26 18:08:05.669 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.2945492917,-0.218353271484375,-0.10333251953125,-0.9684906005859375,0
2020-02-26 18:08:05.728 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.3542392917,-0.2593536376953125,-0.0764923095703125,-1.08111572265625,0
2020-02-26 18:08:05.789 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.4139292918,-0.319549560546875,-0.104217529296875,-1.09173583984375,0
2020-02-26 18:08:05.849 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.4736192917,-0.2529144287109375,-0.0784149169921875,-1.065460205078125,0
2020-02-26 18:08:05.909 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.5333082917,-0.171417236328125,-0.003173828125,-1.02447509765625,0
2020-02-26 18:08:05.969 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.5929982917,-0.01019287109375,-0.0151824951171875,-1.03985595703125,0
2020-02-26 18:08:06.029 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.6526882917,0.098785400390625,-0.0216217041015625,-1.072219848632812,0
2020-02-26 18:08:06.089 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.7123772918,0.1482696533203125,-0.0496978759765625,-1.06036376953125,0
2020-02-26 18:08:06.148 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.7720672918,0.15887451171875,-0.04254150390625,-1.034027099609375,0
2020-02-26 18:08:06.207 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.8317572917,0.0531158447265625,-0.058319091796875,-0.9783172607421875,0
2020-02-26 18:08:06.269 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.8914462917,-0.028472900390625,-0.0272064208984375,-0.99053955078125,0
2020-02-26 18:08:06.328 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933027.9511362917,-0.03436279296875,-0.079498291015625,-0.97735595703125,0
